,Actual,Forecast,Error,Absolute_Error,Percentage_Error
2011-10-19,42573.36,43144.36291230473,-571.0029123047279,571.0029123047279,1.3412211587357163
2011-10-20,61122.9,43430.5067681994,17692.393231800605,17692.393231800605,28.945605054407764
2011-10-21,63226.64,44430.92774980249,18795.71225019751,18795.71225019751,29.727520314534367
2011-10-22,0.0,44848.13040035296,-44848.13040035296,44848.13040035296,inf
2011-10-23,12339.16,44640.932223259486,-32301.772223259486,32301.772223259486,261.7825866854752
2011-10-24,48752.91,44261.00396670363,4491.906033296371,4491.906033296371,9.213616240130836
2011-10-25,41314.64,43836.61463684801,-2521.974636848012,2521.974636848012,6.104312265211586
2011-10-26,38059.43,43780.959487614586,-5721.529487614585,5721.529487614585,15.033145498013464
2011-10-27,57291.72,44149.18540068223,13142.534599317769,13142.534599317769,22.93967540042046
2011-10-28,40565.7,44450.30547260625,-3884.6054726062503,3884.6054726062503,9.576083914751257
2011-10-29,0.0,44447.83973315246,-44447.83973315246,44447.83973315246,inf
2011-10-30,34571.23,44293.52392860238,-9722.293928602376,9722.293928602376,28.122499340065062
2011-10-31,57369.15,44096.15576280811,13272.994237191895,13272.994237191895,23.136117995807666
2011-11-01,29155.15,44008.12435053238,-14852.974350532379,14852.974350532379,50.944599326473636
2011-11-02,45888.34,44116.37821503473,1771.961784965264,1771.961784965264,3.861464121311131
2011-11-03,63561.49,44274.81529899317,19286.67470100683,19286.67470100683,30.343333205384
2011-11-04,62977.36,44322.27098786867,18655.089012131328,18655.089012131328,29.621897475745772
2011-11-05,0.0,44272.286708692416,-44272.286708692416,44272.286708692416,inf
2011-11-06,42946.340000000004,44184.13772281965,-1237.7977228196469,1237.7977228196469,2.8821960679760994
2011-11-07,85881.81,44123.660837917094,41758.149162082904,41758.149162082904,48.622809838408045
2011-11-08,57700.24,44143.47959905977,13556.760400940228,13556.760400940228,23.49515426788559
2011-11-09,66127.57,44212.50745582467,21915.062544175336,21915.062544175336,33.14058348760636
2011-11-10,71008.26,44253.522374437794,26754.7376255622,26754.7376255622,37.678345625652845
2011-11-11,55257.17,44245.105515581665,11012.064484418333,11012.064484418333,19.928752204317256
2011-11-12,0.0,44208.72256692547,-44208.72256692547,44208.72256692547,inf
2011-11-13,34069.92,44175.03591038416,-10105.115910384164,10105.115910384164,29.659934365517042
2011-11-14,114419.89,44171.302591157946,70248.58740884205,70248.58740884205,61.39543344154767
2011-11-15,60807.29,44196.791752598,16610.498247402,16610.498247402,27.31662313417026
2011-11-16,65958.17,44221.263567970826,21736.906432029173,21736.906432029173,32.95559357093924
2011-11-17,61103.13,44225.22153042526,16877.908469574737,16877.908469574737,27.62200311109224
2011-11-18,51275.39,44212.154460125064,7063.235539874935,7063.235539874935,13.775098619191265
2011-11-19,0.0,44195.467887306455,-44195.467887306455,44195.467887306455,inf
2011-11-20,35058.57,44188.70578890563,-9130.13578890563,9130.13578890563,26.0425219537067
2011-11-21,49805.72,44196.280020969425,5609.439979030576,5609.439979030576,11.262642080127696
2011-11-22,64089.82,44208.31866907779,19881.501330922212,19881.501330922212,31.021309360710035
2011-11-23,80104.18,44213.58486274201,35890.59513725798,35890.59513725798,44.80489674478658
2011-11-24,50978.63,44210.01968733466,6768.61031266534,6768.61031266534,13.27734839611292
2011-11-25,50822.73,44202.55420272153,6620.175797278476,6620.175797278476,13.026013748727147
2011-11-26,0.0,44197.64649416464,-44197.64649416464,44197.64649416464,inf
2011-11-27,20611.08,44198.96599070176,-23587.88599070176,23587.88599070176,114.44274628356088
2011-11-28,57165.19,44204.072217571265,12961.117782428737,12961.117782428737,22.673094906933287
2011-11-29,72595.93,44207.73408689294,28388.195913107054,28388.195913107054,39.104390443248064
2011-11-30,60126.96,44207.44203035988,15919.517969640117,15919.517969640117,26.476505663416404
2011-12-01,52197.25,44204.46999088761,7992.780009112394,7992.780009112394,15.312645798605088
2011-12-02,57664.07,44201.67480570895,13462.39519429105,13462.39519429105,23.34624523432191
2011-12-03,0.0,44201.29320628771,-44201.29320628771,44201.29320628771,inf
2011-12-04,24621.43,44203.14734301266,-19581.717343012657,19581.717343012657,79.53119434172855
2011-12-05,88741.96,44205.16001919468,44536.79998080533,44536.79998080533,50.18685634259749
2011-12-06,56713.21,44205.66210927042,12507.547890729576,12507.547890729576,22.054029194837636
2011-12-07,75439.16,44204.66162424276,31234.49837575724,31234.49837575724,41.403560664987836
2011-12-08,82495.0,44203.279637257925,38291.720362742075,38291.720362742075,46.41701965299967
2011-12-09,200920.6,44202.69964142599,156717.900358574,156717.900358574,77.99991656334592
